Student_ID,University,Course,Specialization,Year_of_Study,Gender,Attendance_Percentage,Internal_Marks,External_Marks,CGPA,Placement_Status
1000758,Delhi University,BBA,Civil,3,Male,79.39,19,45,6.6,Not Placed
1000759,Mumbai University,MBA,Civil,3,Male,77.34,10,30,8.07,Placed
1000760,Delhi University,MCA,Marketing,4,Female,87.1,21,39,9.05,Placed
1000761,Pune University,B.Com,Civil,2,Male,74.29,24,24,9.72,Placed
1000762,Pune University,BBA,Mechanical,4,Male,91.77,28,64,8.51,Placed
1000763,JNTU Hyderabad,B.Tech,Mechanical,4,Male,94.89,11,29,9.33,Placed
1000764,Anna University,B.Com,Mechanical,4,Female,55.7,17,31,5.85,Placed
1000765,Anna University,B.Sc,Computer Science,1,Female,73.01,11,58,9.41,Not Placed
1000766,Delhi University,MCA,Data Science,4,Male,70.75,26,32,9.81,Placed
1000767,Pune University,B.Com,Data Science,3,Male,83.82,12,62,6.14,Not Placed
1000768,Mumbai University,B.Com,Computer Science,2,Male,57.83,18,55,8.98,Placed
1000769,Delhi University,B.Com,Mechanical,1,Female,88.14,25,66,8.81,Placed
1000770,Anna University,B.Tech,Computer Science,2,Male,55.61,16,67,9.51,Not Placed
1000771,Delhi University,BBA,Finance,1,Male,78.86,13,29,4.5,Not Placed
1000772,Anna University,BBA,Data Science,3,Male,99.13,17,69,4.2,Not Placed
1000773,Pune University,MCA,Data Science,4,Male,86.85,20,27,5.04,Not Placed
1000774,Mumbai University,B.Com,Computer Science,2,Female,64.73,15,37,9.98,Not Placed
1000775,JNTU Hyderabad,B.Tech,Civil,2,Female,58.36,27,64,8.4,Not Placed
1000776,Pune University,MCA,Marketing,1,Male,65.94,28,22,9.96,Placed
1000777,Pune University,B.Tech,Marketing,4,Female,64.01,23,58,4.91,Placed
1000778,Pune University,B.Sc,Marketing,3,Male,74.76,22,68,6.74,Not Placed
1000779,JNTU Hyderabad,MCA,Computer Science,4,Male,91.13,25,46,8.76,Placed
1000780,Anna University,MCA,Computer Science,4,Male,93.95,14,33,6.65,Placed
1000781,Pune University,B.Sc,Finance,1,Male,67.56,21,67,8.69,Placed
1000782,Anna University,MCA,Marketing,3,Male,88.71,19,36,4.39,Placed
1000783,Delhi University,B.Tech,Civil,1,Female,80.8,19,36,5.82,Not Placed
1000784,JNTU Hyderabad,BBA,Finance,1,Male,62.92,18,40,4.88,Not Placed
1000785,Anna University,B.Tech,Marketing,2,Male,83.04,15,32,4.19,Placed
1000786,Mumbai University,MCA,Marketing,4,Male,95.14,18,46,6.34,Not Placed
1000787,Anna University,MCA,Marketing,1,Female,86.07,29,50,7.81,Placed
1000788,JNTU Hyderabad,B.Tech,Marketing,1,Other,67.51,25,37,9.73,Not Placed
1000789,Anna University,MCA,Data Science,2,Male,82.55,21,64,9.44,Placed
1000790,Delhi University,B.Sc,Finance,3,Female,65.21,18,28,9.02,Not Placed
1000791,Delhi University,BBA,Data Science,1,Male,87.35,12,41,4.63,Placed
1000792,Anna University,MCA,Finance,3,Male,98.76,11,69,8.8,Placed
1000793,Mumbai University,MBA,Finance,2,Male,60.68,26,35,4.76,Placed
1000794,Pune University,BBA,Computer Science,4,Female,80.03,13,56,8.67,Placed
1000795,JNTU Hyderabad,BBA,Civil,2,Female,89.99,20,62,8.69,Placed
1000796,Pune University,BBA,Finance,3,Male,86.23,13,40,8.36,Not Placed
1000797,JNTU Hyderabad,MCA,Computer Science,3,Female,95.17,28,32,9.47,Not Placed
1000798,Pune University,B.Tech,Marketing,1,Female,73.16,29,20,5.23,Not Placed
1000799,Mumbai University,B.Tech,Mechanical,4,Male,56.78,11,35,6.74,Placed
1000800,Anna University,BBA,Civil,4,Female,60.95,14,29,5.04,Placed
1000801,Delhi University,B.Sc,Civil,3,Female,74.61,19,32,4.63,Placed
1000802,Mumbai University,MBA,Computer Science,2,Female,87.27,20,47,7.92,Placed
1000803,JNTU Hyderabad,MCA,Civil,2,Male,96.61,23,68,7.24,Placed
1000804,Anna University,B.Sc,Finance,4,Male,70.36,13,49,4.37,Placed
1000805,Pune University,B.Sc,Mechanical,3,Female,95.92,21,37,8.88,Placed
1000806,JNTU Hyderabad,BBA,Mechanical,2,Female,90.83,22,25,9.58,Placed
1000807,Anna University,BBA,Data Science,2,Female,74.97,13,46,5.69,Placed
1000808,Pune University,B.Com,Finance,2,Male,71.4,26,35,7.57,Placed
1000809,Pune University,B.Tech,Marketing,2,Female,96.56,16,43,5.84,Placed
1000810,Delhi University,B.Tech,Computer Science,1,Male,78.9,29,57,9.41,Not Placed
1000811,Anna University,B.Sc,Civil,4,Female,59.31,26,31,4.35,Not Placed
1000812,Delhi University,BBA,Mechanical,1,Male,63.26,24,46,5.21,Placed
1000813,JNTU Hyderabad,B.Com,Computer Science,3,Male,69.85,26,45,8.28,Placed
1000814,JNTU Hyderabad,MBA,Mechanical,1,Male,64.27,18,60,6.56,Placed
1000815,Pune University,B.Sc,Mechanical,4,Female,96.68,12,51,8.6,Placed
1000816,Mumbai University,B.Sc,Finance,3,Male,81.04,22,55,4.1,Placed
1000817,Anna University,BBA,Finance,2,Female,72.82,21,36,6.74,Placed
1000818,Pune University,BBA,Data Science,3,Male,70.07,11,59,8.84,Placed
1000819,Mumbai University,MBA,Mechanical,1,Female,85.78,29,41,9.82,Not Placed
1000820,Anna University,B.Sc,Finance,4,Female,64.32,10,24,6.96,Not Placed
1000821,JNTU Hyderabad,MBA,Finance,1,Male,62.5,15,35,8.79,Placed
1000822,Mumbai University,B.Com,Finance,4,Male,75.28,13,43,9.32,Placed
1000823,Anna University,B.Sc,Computer Science,3,Male,62.27,22,52,6.66,Not Placed
1000824,Pune University,B.Com,Marketing,4,Female,86.08,16,51,4.4,Placed
1000825,Mumbai University,B.Sc,Data Science,1,Male,80.59,10,25,6.91,Placed
1000826,Mumbai University,MCA,Computer Science,2,Female,90.9,18,39,4.39,Placed
1000827,Pune University,B.Sc,Marketing,1,Male,59.38,23,68,7.35,Not Placed
1000828,Pune University,MCA,Mechanical,1,Female,55.36,24,55,8.42,Placed
1000829,Mumbai University,BBA,Data Science,2,Female,71.39,21,26,4.81,Placed
1000830,Delhi University,MBA,Marketing,3,Male,64.19,11,58,8.34,Placed
1000831,Mumbai University,MBA,Computer Science,1,Male,85.5,26,47,6.46,Not Placed
1000832,JNTU Hyderabad,B.Sc,Mechanical,1,Female,82.03,18,55,5.63,Placed
1000833,Mumbai University,B.Sc,Mechanical,1,Female,60.08,20,47,8.75,Not Placed
1000834,JNTU Hyderabad,B.Sc,Mechanical,2,Female,60.73,21,42,5.27,Placed
1000835,Mumbai University,BBA,Mechanical,3,Male,66.31,25,21,9.1,Placed
1000836,Mumbai University,BBA,Finance,4,Male,90.18,11,31,5.99,Placed
1000837,JNTU Hyderabad,B.Sc,Computer Science,2,Male,73.83,13,36,6.75,Not Placed
1000838,Delhi University,B.Tech,Civil,3,Male,81.85,24,65,4.96,Placed
1000839,Mumbai University,MBA,Data Science,1,Female,95.12,29,27,6.8,Placed
1000840,JNTU Hyderabad,MCA,Civil,3,Male,68.08,24,54,9.05,Placed
1000841,JNTU Hyderabad,MCA,Computer Science,2,Male,79.35,26,23,7.82,Placed
1000842,Pune University,B.Com,Civil,1,Male,55.19,22,47,8.68,Placed
1000843,JNTU Hyderabad,MBA,Finance,2,Female,90.52,16,41,8.11,Not Placed
1000844,Delhi University,BBA,Civil,1,Male,93.2,28,62,4.92,Placed
1000845,Delhi University,B.Sc,Marketing,4,Male,83.68,16,38,4.86,Placed
1000846,Pune University,MBA,Mechanical,1,Female,64.43,14,50,7.84,Placed
1000847,Pune University,MBA,Marketing,1,Male,82.1,19,20,9.42,Placed
1000848,Anna University,MCA,Computer Science,4,Female,98.86,17,51,6.15,Placed
1000849,Anna University,MBA,Computer Science,2,Male,93.76,15,34,9.46,Not Placed
1000850,JNTU Hyderabad,B.Tech,Marketing,4,Female,80.3,24,29,8.47,Placed
1000851,JNTU Hyderabad,BBA,Data Science,1,Female,56.27,10,60,7.42,Placed
1000852,Pune University,B.Tech,Marketing,3,Male,86.99,14,21,6.0,Not Placed
1000853,Mumbai University,MCA,Data Science,1,Male,86.69,14,67,6.31,Placed
1000854,Pune University,B.Tech,Finance,4,Male,63.89,28,51,5.73,Placed
1000855,JNTU Hyderabad,MBA,Computer Science,4,Male,61.8,20,53,6.32,Not Placed
1000856,Mumbai University,MBA,Marketing,1,Female,92.69,18,69,4.78,Not Placed
1000857,Pune University,B.Com,Marketing,3,Male,68.55,15,29,4.81,Placed
1000858,Pune University,B.Sc,Finance,1,Female,82.03,22,30,5.28,Not Placed
1000859,Mumbai University,MCA,Computer Science,2,Male,59.63,20,33,6.89,Placed
1000860,Delhi University,BBA,Finance,4,Male,81.09,11,22,5.2,Placed
1000861,Pune University,BBA,Data Science,1,Male,72.3,14,40,7.0,Not Placed
1000862,Mumbai University,B.Tech,Data Science,2,Male,55.06,16,26,5.34,Placed
1000863,Delhi University,B.Com,Computer Science,4,Female,73.77,24,35,5.23,Placed
1000864,Anna University,B.Com,Marketing,1,Male,80.74,22,67,5.98,Placed
1000865,Pune University,B.Tech,Computer Science,4,Female,93.55,17,62,8.09,Placed
1000866,Mumbai University,BBA,Marketing,2,Female,68.54,28,20,8.01,Not Placed
1000867,Mumbai University,B.Tech,Marketing,4,Male,95.02,27,24,4.83,Placed
1000868,Delhi University,B.Sc,Mechanical,2,Female,92.27,21,49,9.58,Placed
1000869,Anna University,B.Com,Computer Science,3,Male,91.83,25,46,8.44,Placed
1000870,JNTU Hyderabad,MCA,Finance,3,Female,59.74,18,26,7.35,Not Placed
1000871,Mumbai University,B.Tech,Data Science,3,Male,55.09,25,56,8.15,Not Placed
1000872,Delhi University,MCA,Marketing,4,Female,59.58,18,32,7.44,Not Placed
1000873,Delhi University,BBA,Data Science,1,Female,78.93,29,61,4.27,Placed
1000874,Anna University,B.Tech,Data Science,4,Male,84.23,15,25,7.12,Not Placed
1000875,Mumbai University,BBA,Mechanical,4,Female,72.49,16,23,4.65,Placed
1000876,JNTU Hyderabad,B.Sc,Data Science,2,Female,94.6,27,21,7.59,Placed
1000877,Pune University,BBA,Data Science,3,Male,70.11,11,48,6.64,Not Placed
1000878,Pune University,MCA,Civil,3,Female,92.53,26,57,4.49,Not Placed
1000879,Mumbai University,BBA,Computer Science,1,Female,63.38,24,56,9.27,Placed
1000880,JNTU Hyderabad,B.Tech,Civil,2,Male,93.5,12,38,7.43,Not Placed
1000881,Anna University,B.Com,Computer Science,4,Male,88.73,24,68,6.76,Placed
1000882,Mumbai University,B.Sc,Civil,2,Female,58.6,26,65,8.63,Placed
1000883,Pune University,MBA,Finance,4,Female,60.51,26,69,6.79,Placed
1000884,Mumbai University,B.Sc,Data Science,3,Male,61.29,26,35,4.59,Placed
1000885,Pune University,B.Tech,Computer Science,2,Male,87.93,21,24,9.89,Placed
1000886,Delhi University,MBA,Computer Science,3,Female,73.35,14,31,4.32,Placed
1000887,Delhi University,B.Tech,Marketing,4,Female,73.63,14,28,8.31,Placed
1000888,Mumbai University,B.Com,Finance,1,Female,85.81,20,57,6.35,Placed
1000889,JNTU Hyderabad,MBA,Marketing,1,Female,74.33,12,38,9.55,Placed
1000890,JNTU Hyderabad,B.Sc,Mechanical,2,Other,56.23,15,39,7.06,Not Placed
1000891,Mumbai University,B.Sc,Mechanical,4,Male,83.83,18,43,8.52,Placed
1000892,Mumbai University,B.Sc,Computer Science,4,Female,69.49,28,66,9.3,Not Placed
1000893,Delhi University,B.Tech,Finance,3,Male,92.37,20,31,6.67,Placed
1000894,Pune University,B.Com,Finance,2,Male,87.65,15,37,5.1,Placed
1000895,Mumbai University,MCA,Civil,1,Male,80.52,10,33,8.12,Not Placed
1000896,Delhi University,B.Sc,Data Science,2,Female,77.89,10,57,9.46,Placed
1000897,Pune University,MCA,Marketing,3,Female,95.9,15,58,8.84,Placed
1000898,Delhi University,MBA,Mechanical,3,Female,56.73,15,30,5.11,Not Placed
1000899,Anna University,B.Sc,Finance,4,Male,78.39,26,31,5.91,Placed
1000900,Anna University,B.Tech,Marketing,1,Male,67.62,29,60,8.41,Placed
1000901,Delhi University,B.Tech,Marketing,4,Male,74.83,12,20,8.15,Placed
1000902,Mumbai University,MCA,Civil,2,Male,81.77,20,29,8.97,Not Placed
1000903,Pune University,B.Tech,Mechanical,2,Male,81.98,25,40,4.69,Placed
1000904,Pune University,B.Com,Marketing,1,Male,62.44,22,44,6.7,Not Placed
1000905,JNTU Hyderabad,MBA,Civil,4,Female,66.62,26,49,4.32,Not Placed
1000906,JNTU Hyderabad,BBA,Data Science,4,Male,84.3,10,68,4.38,Placed
1000907,Anna University,B.Sc,Civil,2,Female,57.41,22,31,6.39,Placed
1000908,Delhi University,BBA,Computer Science,4,Male,67.39,21,56,4.81,Not Placed
1000909,Pune University,MBA,Finance,2,Male,59.05,28,64,9.06,Placed
1000910,Mumbai University,B.Sc,Marketing,3,Male,61.63,20,48,9.79,Placed
1000911,Anna University,MBA,Computer Science,2,Female,97.16,24,57,4.12,Placed
1000912,Mumbai University,BBA,Computer Science,4,Male,64.21,16,61,7.95,Placed
1000913,JNTU Hyderabad,B.Sc,Mechanical,1,Male,74.22,12,22,7.42,Not Placed
1000914,Mumbai University,BBA,Computer Science,2,Male,81.38,10,59,6.28,Placed
1000915,Delhi University,MCA,Civil,2,Female,80.97,25,69,8.32,Placed
1000916,JNTU Hyderabad,MBA,Computer Science,4,Female,69.07,28,33,5.81,Placed
1000917,Mumbai University,MCA,Computer Science,4,Male,76.38,26,69,5.62,Not Placed
1000918,Mumbai University,B.Com,Data Science,4,Male,58.09,18,32,5.65,Placed
1000919,Pune University,MBA,Civil,3,Female,92.99,24,43,9.39,Placed
1000920,JNTU Hyderabad,B.Sc,Data Science,1,Female,70.49,20,38,5.51,Not Placed
1000921,Anna University,BBA,Mechanical,2,Female,61.53,25,28,5.83,Placed
1000922,JNTU Hyderabad,BBA,Civil,3,Female,83.23,16,62,6.25,Placed
1000923,Mumbai University,MCA,Data Science,2,Male,76.36,14,39,4.53,Placed
1000924,Mumbai University,MBA,Mechanical,3,Female,72.4,11,24,7.75,Not Placed
1000925,Delhi University,B.Com,Data Science,4,Female,67.19,11,31,4.17,Not Placed
1000926,Anna University,BBA,Computer Science,4,Female,75.66,15,48,9.13,Placed
1000927,Pune University,BBA,Computer Science,4,Female,68.67,19,42,4.49,Placed
1000928,Anna University,MBA,Mechanical,3,Male,76.98,20,55,9.9,Not Placed
1000929,Anna University,MCA,Marketing,1,Male,83.14,14,53,9.08,Not Placed
1000930,Anna University,B.Com,Computer Science,1,Female,80.23,16,27,6.07,Not Placed
1000931,JNTU Hyderabad,BBA,Mechanical,1,Male,68.54,11,23,9.02,Placed
1000932,Mumbai University,MBA,Mechanical,4,Male,84.55,10,60,6.42,Placed
1000933,Delhi University,MBA,Computer Science,2,Female,99.8,26,23,8.53,Placed
1000934,Anna University,B.Tech,Mechanical,2,Male,66.83,26,57,8.82,Placed
1000935,Anna University,MBA,Computer Science,3,Male,86.43,15,24,7.0,Placed
1000936,Anna University,MCA,Data Science,4,Male,62.32,24,29,9.85,Not Placed
1000937,Delhi University,MCA,Computer Science,3,Male,84.84,23,46,7.25,Placed
1000938,Anna University,B.Tech,Data Science,3,Male,63.75,13,36,4.4,Placed
1000939,Pune University,B.Com,Finance,4,Male,68.67,27,69,4.42,Placed
1000940,JNTU Hyderabad,B.Tech,Computer Science,1,Female,90.51,16,58,5.92,Not Placed
1000941,Pune University,B.Sc,Marketing,4,Male,58.38,28,46,7.69,Placed
1000942,Delhi University,B.Com,Civil,4,Female,63.3,15,42,6.67,Not Placed
1000943,Delhi University,MCA,Computer Science,4,Male,67.63,12,56,4.78,Not Placed
1000944,JNTU Hyderabad,B.Sc,Finance,2,Female,85.98,21,39,5.25,Not Placed
1000945,Delhi University,B.Tech,Marketing,3,Male,74.45,14,51,9.95,Placed
1000946,JNTU Hyderabad,MCA,Civil,1,Male,98.88,22,28,4.46,Placed
1000947,Delhi University,BBA,Data Science,1,Female,72.7,25,48,4.27,Placed
1000948,Anna University,MBA,Data Science,3,Male,70.86,27,57,7.55,Not Placed
1000949,Delhi University,B.Sc,Mechanical,3,Female,85.43,28,21,8.85,Not Placed
1000950,Pune University,MBA,Marketing,3,Female,66.05,26,30,9.0,Placed
1000951,Delhi University,B.Com,Finance,2,Female,84.46,14,47,4.34,Placed
1000952,JNTU Hyderabad,BBA,Data Science,2,Female,91.55,14,55,9.91,Placed
1000953,JNTU Hyderabad,MCA,Marketing,3,Male,82.15,10,43,5.96,Placed
1000954,Pune University,B.Sc,Mechanical,4,Female,89.02,29,51,8.39,Placed
1000955,Mumbai University,MCA,Marketing,4,Male,90.4,24,29,4.03,Placed
1000956,Delhi University,B.Sc,Mechanical,1,Male,66.68,26,64,7.5,Placed
1000957,JNTU Hyderabad,BBA,Data Science,1,Male,71.73,10,53,8.22,Placed
1000958,Pune University,B.Tech,Computer Science,1,Female,61.61,10,58,9.52,Not Placed
1000959,Pune University,MCA,Data Science,2,Female,71.39,15,50,4.17,Not Placed
1000960,Mumbai University,MBA,Data Science,3,Male,97.72,26,59,4.72,Not Placed
1000961,JNTU Hyderabad,MBA,Marketing,3,Male,74.16,29,53,4.84,Placed
1000962,Pune University,MBA,Marketing,3,Male,83.15,19,57,9.89,Placed
1000963,Anna University,BBA,Marketing,3,Female,97.83,14,46,9.54,Not Placed
1000964,JNTU Hyderabad,BBA,Mechanical,1,Female,70.36,16,26,4.62,Placed
1000965,Delhi University,MBA,Finance,4,Female,64.75,12,59,9.39,Placed
1000966,Mumbai University,MBA,Computer Science,4,Female,86.28,14,46,9.58,Placed
1000967,Pune University,B.Com,Mechanical,4,Male,70.42,26,24,4.13,Not Placed
1000968,Anna University,B.Sc,Data Science,3,Male,95.79,28,63,6.48,Not Placed
1000969,Anna University,B.Com,Computer Science,4,Female,73.36,15,54,6.58,Not Placed
1000970,JNTU Hyderabad,B.Com,Finance,4,Female,94.07,29,28,6.61,Placed
1000971,Mumbai University,B.Tech,Data Science,3,Female,67.88,16,21,9.61,Placed
1000972,Pune University,MBA,Finance,2,Female,96.23,16,46,5.53,Placed
1000973,JNTU Hyderabad,MBA,Finance,4,Male,75.23,19,67,8.68,Placed
1000974,Pune University,B.Com,Computer Science,2,Female,56.57,21,55,7.9,Not Placed
1000975,Delhi University,MBA,Finance,2,Male,61.55,15,48,4.08,Not Placed
1000976,Mumbai University,BBA,Marketing,4,Male,81.87,28,34,8.88,Placed
1000977,Anna University,B.Sc,Finance,3,Male,99.7,28,69,6.57,Placed
1000978,Mumbai University,B.Tech,Civil,4,Male,69.04,11,35,6.74,Placed
1000979,Delhi University,B.Com,Computer Science,4,Female,94.43,16,67,5.98,Placed
1000980,Anna University,MCA,Marketing,4,Female,67.26,23,27,7.87,Not Placed
1000981,Mumbai University,B.Sc,Marketing,4,Male,94.31,19,33,4.14,Placed
1000982,Mumbai University,B.Com,Mechanical,1,Male,64.43,11,40,5.18,Not Placed
1000983,Mumbai University,B.Tech,Marketing,1,Female,64.77,24,35,6.6,Placed
1000984,JNTU Hyderabad,MCA,Finance,4,Male,68.58,18,64,8.66,Not Placed
1000985,Anna University,B.Sc,Marketing,3,Male,67.29,20,51,6.65,Placed
1000986,Mumbai University,MBA,Finance,3,Male,92.37,11,41,6.02,Placed
1000987,Mumbai University,MCA,Mechanical,2,Female,99.27,12,65,4.54,Placed
1000988,Pune University,B.Tech,Civil,4,Male,73.34,10,52,6.6,Placed
1000989,JNTU Hyderabad,B.Com,Finance,3,Male,96.23,22,22,6.77,Placed
1000990,Pune University,MCA,Finance,4,Female,99.39,27,37,7.07,Not Placed
1000991,Mumbai University,MCA,Data Science,1,Male,83.87,29,52,6.02,Not Placed
1000992,Anna University,MBA,Finance,4,Female,85.91,28,63,4.86,Not Placed
1000993,JNTU Hyderabad,MCA,Mechanical,4,Male,86.27,24,26,6.1,Placed
1000994,JNTU Hyderabad,B.Com,Marketing,3,Female,76.81,10,27,4.79,Placed
1000995,Pune University,B.Sc,Computer Science,1,Other,91.38,27,65,8.78,Placed
1000996,Anna University,MBA,Finance,1,Male,73.92,22,25,5.54,Not Placed
1000997,Mumbai University,B.Sc,Finance,2,Female,59.94,18,66,9.95,Placed
1000998,Pune University,BBA,Finance,1,Female,87.98,28,37,8.56,Not Placed
1000999,Delhi University,B.Tech,Marketing,4,Female,91.57,28,69,6.03,Placed
1001000,Pune University,MBA,Mechanical,4,Male,92.96,29,53,9.52,Placed
1001001,JNTU Hyderabad,BBA,Finance,4,Female,87.39,16,48,5.2,Placed
1001002,JNTU Hyderabad,MBA,Civil,2,Male,68.3,23,44,6.33,Placed
1001003,Pune University,BBA,Data Science,3,Female,70.2,24,58,5.65,Placed
1001004,JNTU Hyderabad,BBA,Computer Science,3,Female,91.33,12,68,6.6,Placed
1001005,Delhi University,B.Sc,Civil,3,Female,64.12,28,54,6.19,Placed
1001006,Pune University,B.Tech,Mechanical,4,Male,58.91,13,53,8.09,Placed
1001007,Anna University,MCA,Civil,1,Male,79.59,18,23,8.97,Placed
1001008,Pune University,BBA,Marketing,4,Male,74.45,25,21,6.93,Not Placed
1001009,Anna University,BBA,Data Science,2,Male,61.36,17,37,4.05,Placed
1001010,Pune University,B.Sc,Civil,3,Female,82.31,13,44,4.61,Placed
1001011,Anna University,MCA,Marketing,4,Male,55.28,13,22,4.94,Placed
1001012,Delhi University,B.Com,Computer Science,4,Female,85.31,29,60,9.22,Not Placed
1001013,Anna University,B.Sc,Data Science,4,Male,77.18,15,58,5.88,Placed
1001014,Pune University,MCA,Finance,1,Female,82.81,25,33,7.94,Placed
1001015,JNTU Hyderabad,BBA,Marketing,1,Female,87.37,26,51,8.34,Placed
1001016,Delhi University,MBA,Civil,4,Male,85.42,21,51,6.23,Placed
1001017,Pune University,MCA,Civil,4,Male,69.18,11,20,8.99,Placed
1001018,Mumbai University,MBA,Civil,3,Other,90.48,17,45,7.68,Placed
1001019,JNTU Hyderabad,B.Sc,Data Science,3,Female,82.47,17,32,6.94,Placed
1001020,JNTU Hyderabad,BBA,Marketing,4,Male,60.81,13,28,8.02,Placed
1001021,Anna University,MBA,Finance,1,Female,57.74,19,65,6.52,Placed
1001022,Mumbai University,B.Sc,Civil,3,Male,77.61,29,51,6.1,Not Placed
1001023,Pune University,B.Tech,Finance,4,Female,79.87,23,45,9.19,Not Placed
1001024,Pune University,B.Tech,Computer Science,3,Male,89.73,27,59,5.72,Placed
1001025,Pune University,BBA,Marketing,2,Male,76.22,23,63,4.3,Placed
1001026,JNTU Hyderabad,MBA,Data Science,3,Male,90.53,16,42,5.46,Placed
1001027,JNTU Hyderabad,MCA,Finance,3,Male,83.77,19,45,4.08,Placed
1001028,JNTU Hyderabad,BBA,Marketing,1,Female,72.75,10,63,4.9,Not Placed
1001029,Delhi University,B.Sc,Civil,4,Female,83.36,23,37,7.17,Placed
1001030,Delhi University,BBA,Data Science,2,Female,57.26,18,48,7.29,Placed
1001031,Anna University,B.Sc,Computer Science,3,Male,93.72,25,47,9.11,Not Placed
1001032,Mumbai University,B.Com,Civil,2,Female,93.56,27,59,8.27,Placed
1001033,Anna University,B.Sc,Mechanical,1,Female,68.87,18,36,5.39,Placed
1001034,Mumbai University,MCA,Marketing,3,Male,60.16,15,24,6.59,Placed
1001035,Pune University,B.Sc,Finance,3,Female,65.08,23,64,6.5,Not Placed
1001036,JNTU Hyderabad,B.Sc,Computer Science,4,Female,93.95,22,33,9.75,Placed
1001037,Mumbai University,B.Com,Computer Science,3,Female,79.47,15,39,7.86,Not Placed
1001038,Anna University,B.Com,Computer Science,2,Male,94.16,25,56,9.14,Placed
1001039,Anna University,B.Com,Computer Science,1,Female,65.86,27,58,7.01,Not Placed
1001040,JNTU Hyderabad,B.Com,Mechanical,4,Male,68.34,20,47,6.92,Placed
1001041,Delhi University,B.Com,Civil,2,Male,90.05,16,36,9.16,Placed
1001042,Anna University,MCA,Marketing,4,Male,61.62,23,50,6.87,Not Placed
1001043,Anna University,BBA,Data Science,2,Male,76.82,22,45,8.03,Placed
1001044,Delhi University,BBA,Marketing,2,Male,75.25,19,29,6.53,Placed
1001045,Anna University,B.Sc,Civil,4,Female,92.63,29,68,6.59,Placed
1001046,Pune University,MBA,Computer Science,3,Male,60.43,21,31,6.44,Placed
1001047,JNTU Hyderabad,B.Sc,Mechanical,4,Male,93.33,27,67,5.79,Placed
1001048,Pune University,BBA,Mechanical,4,Male,74.08,15,39,4.62,Placed
1001049,Pune University,MBA,Mechanical,2,Female,69.31,24,67,4.32,Placed
1001050,Pune University,B.Tech,Mechanical,2,Female,57.8,12,35,5.99,Placed
1001051,JNTU Hyderabad,BBA,Data Science,3,Male,65.86,21,25,9.58,Placed
1001052,Pune University,BBA,Civil,3,Male,98.37,19,43,6.34,Not Placed
1001053,Delhi University,MBA,Mechanical,2,Male,81.87,15,44,5.27,Placed
1001054,JNTU Hyderabad,MBA,Mechanical,3,Other,99.63,28,47,5.42,Not Placed
1001055,Anna University,B.Tech,Computer Science,3,Male,78.77,26,67,5.0,Placed
1001056,JNTU Hyderabad,B.Com,Mechanical,4,Female,85.21,19,29,9.04,Placed
1001057,Mumbai University,MCA,Finance,3,Female,93.8,19,46,9.5,Not Placed
1001058,Delhi University,MBA,Computer Science,1,Male,89.61,18,47,5.31,Placed
1001059,Delhi University,B.Tech,Data Science,1,Female,73.98,21,69,7.57,Placed
1001060,Pune University,B.Com,Mechanical,2,Female,61.94,14,43,7.48,Placed
1001061,Pune University,B.Sc,Civil,4,Male,62.07,24,63,6.95,Not Placed
1001062,Anna University,BBA,Finance,3,Male,79.36,22,58,5.63,Placed
1001063,Anna University,B.Sc,Data Science,1,Female,86.98,23,25,7.75,Placed
1001064,Mumbai University,BBA,Marketing,2,Male,73.77,16,21,8.59,Placed
1001065,JNTU Hyderabad,B.Tech,Computer Science,3,Male,93.79,17,67,7.42,Placed
1001066,Pune University,MBA,Data Science,4,Female,69.39,11,61,6.33,Placed
1001067,Mumbai University,BBA,Data Science,2,Male,83.53,18,65,4.99,Placed
1001068,Mumbai University,MCA,Data Science,3,Male,91.95,28,47,6.43,Placed
1001069,Pune University,MBA,Marketing,2,Female,63.43,18,20,9.78,Placed
1001070,Delhi University,BBA,Finance,2,Male,80.99,16,21,6.29,Not Placed
1001071,Pune University,B.Sc,Finance,1,Female,79.95,23,47,7.3,Not Placed
1001072,Mumbai University,B.Tech,Finance,2,Male,65.6,10,26,5.84,Placed
1001073,Pune University,B.Tech,Mechanical,3,Female,67.07,25,49,5.16,Placed
1001074,Delhi University,B.Tech,Marketing,1,Female,88.55,18,46,7.72,Placed
1001075,Pune University,MBA,Mechanical,2,Female,69.58,20,42,8.17,Placed
1001076,JNTU Hyderabad,B.Tech,Finance,3,Female,75.76,24,66,6.61,Placed
1001077,Delhi University,B.Sc,Finance,1,Male,84.89,21,66,4.0,Placed
1001078,Delhi University,B.Com,Mechanical,1,Male,97.14,22,54,6.88,Placed
1001079,Anna University,B.Tech,Mechanical,1,Male,59.8,19,58,9.84,Placed
1001080,JNTU Hyderabad,BBA,Mechanical,1,Female,97.34,28,33,6.62,Not Placed
1001081,Mumbai University,BBA,Computer Science,4,Male,90.16,17,31,5.19,Placed
1001082,Anna University,BBA,Computer Science,1,Female,66.01,23,63,4.31,Placed
1001083,Delhi University,BBA,Finance,3,Male,95.47,21,25,8.81,Placed
1001084,Mumbai University,MBA,Mechanical,1,Male,85.55,16,39,5.23,Placed
1001085,Pune University,B.Sc,Computer Science,2,Female,71.73,17,64,5.84,Not Placed
1001086,JNTU Hyderabad,B.Com,Finance,4,Female,99.6,22,63,7.78,Not Placed
