Date,City,State,Property_Type,Bedrooms,Bathrooms,Area_sqft,Property_Price_USD,Year_Built,Sale_Status
2022-07-30,Houston,CA,Villa,2,2,2333,824990,1996,Available
2022-07-31,Miami,TX,Condo,3,2,1833,823781,1994,Sold
2022-08-01,New York,IL,Villa,1,4,1256,823988,1991,Available
2022-08-02,Miami,NY,Villa,3,2,2672,822123,1998,Sold
2022-08-03,Houston,FL,Villa,2,1,3997,823764,1994,Sold
2022-08-04,New York,FL,Villa,4,2,2957,823207,1990,Sold
2022-08-05,Chicago,CA,Villa,5,4,1196,822219,2014,Available
2022-08-06,Chicago,FL,Villa,3,2,1076,823333,2018,Sold
2022-08-07,Houston,TX,Townhouse,2,3,3820,825197,1997,Sold
2022-08-08,Houston,NY,Condo,2,3,1739,824525,2006,Available
2022-08-09,Miami,IL,Townhouse,1,2,1634,822856,2022,Sold
2022-08-10,Chicago,NY,Villa,3,2,2098,822526,2017,Sold
2022-08-11,New York,IL,Villa,4,2,1635,821046,2006,Sold
2022-08-12,New York,IL,Villa,5,4,1389,823179,2017,Sold
2022-08-13,Los Angeles,NY,Condo,2,4,3671,825434,2004,Available
2022-08-14,New York,CA,Apartment,5,4,3431,826199,2002,Available
2022-08-15,Los Angeles,CA,Apartment,4,2,2798,824779,2002,Available
2022-08-16,Los Angeles,CA,Townhouse,5,2,1176,823512,1980,Sold
2022-08-17,New York,TX,Condo,2,1,534,823646,2001,Sold
2022-08-18,Chicago,FL,Villa,1,1,1632,823489,1989,Sold
2022-08-19,Los Angeles,NY,Townhouse,2,1,1808,823072,1990,Available
2022-08-20,Los Angeles,IL,Townhouse,4,1,1856,822085,1997,Available
2022-08-21,New York,TX,Condo,3,4,1594,821868,1990,Available
2022-08-22,Houston,CA,Apartment,1,2,2725,820597,1998,Available
2022-08-23,Los Angeles,FL,Villa,2,2,3788,819757,1996,Sold
2022-08-24,Los Angeles,NY,Condo,2,1,1066,818566,2004,Sold
2022-08-25,Miami,NY,Apartment,5,3,3006,819900,2011,Sold
2022-08-26,Chicago,IL,Apartment,3,1,3621,821242,1982,Sold
2022-08-27,New York,NY,Villa,5,3,3504,819418,1988,Available
2022-08-28,New York,IL,Townhouse,5,4,3432,819226,2018,Sold
2022-08-29,Los Angeles,TX,Apartment,3,4,2671,817816,2006,Sold
2022-08-30,Miami,IL,Condo,1,2,3326,818779,2010,Sold
2022-08-31,Miami,IL,Apartment,5,3,1065,818790,2002,Sold
2022-09-01,Miami,CA,Condo,3,1,2064,819500,1983,Available
2022-09-02,Los Angeles,CA,Apartment,1,3,2135,819448,2005,Available
2022-09-03,Miami,IL,Condo,1,3,2094,819028,2014,Sold
2022-09-04,Houston,NY,Townhouse,4,1,1793,821688,1998,Sold
2022-09-05,Chicago,NY,Condo,4,1,2094,821008,2016,Available
2022-09-06,New York,TX,Condo,2,3,3093,821256,1988,Available
2022-09-07,New York,IL,Villa,1,1,772,822753,2003,Sold
2022-09-08,Miami,FL,Townhouse,3,3,1742,821909,2021,Sold
2022-09-09,Los Angeles,CA,Apartment,3,3,3630,824065,1982,Available
2022-09-10,Houston,IL,Condo,3,3,580,822099,1983,Sold
2022-09-11,Los Angeles,IL,Condo,5,4,3393,823258,1983,Sold
2022-09-12,Chicago,FL,Townhouse,4,3,2934,824861,1989,Available
2022-09-13,Chicago,NY,Villa,3,1,3900,826808,2016,Sold
2022-09-14,Miami,FL,Townhouse,5,4,2226,828476,2016,Sold
2022-09-15,Los Angeles,FL,Condo,1,2,603,830523,1996,Sold
2022-09-16,Los Angeles,IL,Villa,2,3,2622,831898,1992,Available
2022-09-17,Los Angeles,CA,Apartment,1,2,1522,833216,1998,Available
2022-09-18,Houston,NY,Apartment,5,2,2699,831438,1982,Sold
2022-09-19,Houston,IL,Condo,1,2,1100,829914,2008,Sold
2022-09-20,Chicago,NY,Apartment,1,3,2101,832253,1987,Sold
2022-09-21,Miami,IL,Condo,5,3,2844,832794,2004,Sold
2022-09-22,Houston,CA,Villa,3,2,2792,832148,2019,Available
2022-09-23,Houston,CA,Apartment,4,1,1226,830317,2009,Sold
2022-09-24,Miami,CA,Apartment,5,4,1901,829718,1996,Sold
2022-09-25,Houston,IL,Apartment,3,3,1919,829320,1989,Sold
2022-09-26,Miami,TX,Townhouse,2,4,2178,829706,1995,Sold
2022-09-27,Miami,NY,Villa,2,1,3519,828779,1984,Sold
2022-09-28,Los Angeles,IL,Villa,3,4,2421,828198,2007,Available
2022-09-29,Houston,IL,Condo,4,3,807,829093,2008,Available
2022-09-30,Los Angeles,IL,Condo,3,3,3779,830566,2011,Sold
2022-10-01,Chicago,IL,Townhouse,2,3,3564,833545,2010,Available
2022-10-02,Los Angeles,TX,Apartment,1,4,3386,835461,1990,Sold
2022-10-03,Chicago,FL,Condo,1,1,2913,834222,1996,Available
2022-10-04,Miami,TX,Townhouse,1,2,534,837211,1995,Sold
2022-10-05,New York,IL,Condo,3,4,1344,836427,2012,Available
2022-10-06,Houston,IL,Townhouse,4,2,3397,834497,2013,Sold
2022-10-07,New York,NY,Condo,1,4,1606,833486,2014,Sold
2022-10-08,Houston,IL,Apartment,4,3,2497,834349,1989,Sold
2022-10-09,Chicago,NY,Villa,5,4,1684,834719,1996,Available
2022-10-10,Los Angeles,NY,Townhouse,2,3,3327,834227,2017,Sold
2022-10-11,Houston,IL,Condo,4,4,3788,834014,2018,Sold
2022-10-12,New York,FL,Condo,3,4,3995,836240,1996,Sold
2022-10-13,Houston,IL,Townhouse,5,1,3733,835917,1987,Sold
2022-10-14,New York,NY,Condo,4,2,2725,836438,2012,Available
2022-10-15,Miami,FL,Condo,5,3,722,835398,2004,Sold
2022-10-16,Miami,NY,Villa,4,4,1647,833761,2007,Sold
2022-10-17,Los Angeles,TX,Apartment,1,1,3802,833394,2006,Sold
2022-10-18,Chicago,CA,Condo,3,3,3656,834850,2022,Available
2022-10-19,New York,IL,Villa,1,1,672,837532,1981,Available
2022-10-20,Miami,NY,Condo,1,1,2865,839854,2007,Available
2022-10-21,New York,FL,Condo,5,1,2970,838711,2006,Available
2022-10-22,Miami,FL,Condo,5,3,508,841058,2001,Sold
2022-10-23,New York,TX,Villa,3,1,2501,840738,1985,Available
2022-10-24,Los Angeles,FL,Townhouse,4,4,2126,841102,2003,Sold
2022-10-25,Chicago,TX,Villa,4,1,945,839946,1982,Sold
2022-10-26,Los Angeles,CA,Condo,3,1,3975,840475,2009,Available
2022-10-27,Los Angeles,TX,Villa,4,1,1461,842680,2002,Available
2022-10-28,New York,CA,Condo,1,3,3017,841667,2014,Sold
2022-10-29,Miami,CA,Villa,5,4,3719,842335,2010,Sold
2022-10-30,Houston,FL,Villa,3,1,3220,844278,2012,Sold
2022-10-31,Miami,CA,Townhouse,4,4,3846,845196,1986,Sold
2022-11-01,Miami,NY,Villa,3,4,1172,847378,2018,Sold
2022-11-02,Miami,FL,Townhouse,1,4,1320,845587,2012,Sold
2022-11-03,Los Angeles,FL,Condo,3,2,2272,846237,1993,Available
2022-11-04,Houston,TX,Villa,1,4,2042,844914,1981,Sold
2022-11-05,New York,TX,Townhouse,3,1,815,845448,2007,Available
2022-11-06,Los Angeles,NY,Townhouse,3,3,3426,845842,1995,Sold
2022-11-07,Los Angeles,NY,Apartment,1,4,1330,846117,2018,Sold
2022-11-08,Houston,CA,Apartment,4,4,1314,848101,2007,Sold
2022-11-09,Chicago,TX,Townhouse,2,1,1420,846236,2000,Sold
2022-11-10,Chicago,FL,Villa,3,3,2278,847544,2003,Available
2022-11-11,Chicago,TX,Townhouse,4,4,1195,849598,1998,Available
2022-11-12,Los Angeles,TX,Townhouse,2,1,3578,850552,1988,Sold
2022-11-13,Houston,FL,Villa,2,2,2631,852344,2007,Available
2022-11-14,Los Angeles,CA,Townhouse,1,1,2974,850757,2000,Available
2022-11-15,New York,IL,Condo,1,1,1771,850408,2017,Sold
2022-11-16,Los Angeles,CA,Apartment,4,1,3318,849437,1993,Sold
2022-11-17,Chicago,CA,Apartment,5,2,3074,847590,1991,Sold
2022-11-18,Los Angeles,NY,Villa,1,3,3100,846417,1983,Available
2022-11-19,Miami,IL,Apartment,5,2,3731,845047,1993,Sold
2022-11-20,Houston,IL,Villa,5,4,3953,844446,1992,Available
2022-11-21,Houston,TX,Townhouse,1,4,2910,842633,2008,Available
2022-11-22,New York,TX,Villa,4,3,1941,845261,1981,Sold
2022-11-23,New York,NY,Condo,4,3,2190,843319,1997,Available
2022-11-24,Chicago,FL,Townhouse,1,4,1096,842341,2016,Sold
2022-11-25,Miami,CA,Condo,4,4,3182,840573,2021,Available
2022-11-26,New York,CA,Townhouse,5,1,1876,842180,1991,Sold
2022-11-27,Chicago,FL,Villa,4,2,3083,845071,1993,Sold
2022-11-28,Houston,IL,Townhouse,5,4,2878,846718,2009,Sold
2022-11-29,Houston,TX,Apartment,5,1,3157,845222,1993,Sold
2022-11-30,Los Angeles,IL,Apartment,4,2,3695,845173,1982,Sold
2022-12-01,Chicago,TX,Townhouse,2,2,2042,844233,2003,Available
2022-12-02,Houston,CA,Villa,2,4,983,844263,2017,Available
2022-12-03,Chicago,TX,Condo,4,4,3326,844165,1986,Available
2022-12-04,New York,TX,Townhouse,2,1,735,845292,1987,Sold
2022-12-05,Houston,NY,Villa,4,1,3465,844808,2015,Available
2022-12-06,Los Angeles,TX,Townhouse,4,2,3736,844858,2017,Available
2022-12-07,Los Angeles,CA,Townhouse,4,1,2322,844992,1980,Sold
2022-12-08,Houston,IL,Townhouse,5,4,2520,843668,2022,Sold
2022-12-09,New York,TX,Condo,1,1,1034,844697,1999,Sold
2022-12-10,Chicago,IL,Apartment,4,2,3539,842737,2001,Sold
2022-12-11,New York,TX,Apartment,5,4,2985,843265,2012,Sold
2022-12-12,Los Angeles,IL,Condo,5,3,2029,842531,2000,Sold
2022-12-13,Los Angeles,IL,Townhouse,1,1,2472,842523,2004,Sold
2022-12-14,Houston,FL,Condo,2,2,3824,841932,2015,Available
2022-12-15,Miami,TX,Villa,1,4,3632,843517,1990,Available
2022-12-16,Miami,IL,Apartment,5,2,3804,843665,2008,Available
2022-12-17,Houston,NY,Apartment,5,1,2409,845622,1994,Available
2022-12-18,Miami,TX,Villa,2,1,2744,844979,1999,Sold
2022-12-19,Los Angeles,NY,Apartment,1,3,2932,843803,1995,Available
2022-12-20,Chicago,TX,Villa,4,2,3440,842724,2022,Sold
2022-12-21,Houston,FL,Condo,5,1,3100,845221,2009,Available
2022-12-22,Los Angeles,CA,Townhouse,1,3,2961,848024,2001,Sold
2022-12-23,Los Angeles,FL,Apartment,3,1,2367,848156,2009,Available
2022-12-24,Houston,CA,Condo,2,1,1964,850938,1990,Sold
2022-12-25,Miami,CA,Townhouse,3,4,3937,852205,2005,Sold
2022-12-26,Houston,IL,Townhouse,1,1,2206,850224,1985,Sold
2022-12-27,New York,NY,Apartment,3,1,1967,852725,2007,Available
2022-12-28,Miami,IL,Apartment,2,1,2019,854957,2005,Sold
2022-12-29,Chicago,NY,Condo,1,1,2024,855051,2005,Sold
2022-12-30,New York,TX,Townhouse,1,1,3706,855616,2017,Sold
2022-12-31,Chicago,NY,Condo,5,1,3529,857560,2012,Available
2023-01-01,New York,TX,Townhouse,5,4,3446,855665,1982,Sold
2023-01-02,Houston,CA,Townhouse,2,1,1209,853964,2016,Available
2023-01-03,Chicago,NY,Villa,2,2,2627,856962,2016,Sold
2023-01-04,Los Angeles,IL,Villa,2,1,2401,859857,1980,Sold
2023-01-05,Houston,NY,Condo,1,4,505,859030,1984,Sold
2023-01-06,Los Angeles,TX,Villa,2,1,1862,857837,2007,Sold
2023-01-07,Miami,NY,Apartment,5,4,1834,856392,2003,Available
2023-01-08,Chicago,IL,Townhouse,5,2,2197,859057,2005,Sold
2023-01-09,Houston,IL,Townhouse,4,2,1393,858721,1983,Sold
2023-01-10,Miami,CA,Townhouse,5,2,2604,860581,2010,Available
2023-01-11,Houston,IL,Townhouse,4,2,3582,862501,1986,Sold
2023-01-12,Chicago,NY,Condo,5,4,2618,861118,2003,Available
2023-01-13,New York,IL,Townhouse,1,4,3909,860201,2017,Sold
2023-01-14,Miami,CA,Apartment,3,4,1977,862463,2014,Sold
2023-01-15,Los Angeles,CA,Condo,5,2,1720,861058,1997,Sold
2023-01-16,New York,FL,Apartment,2,3,1121,860782,1997,Available
2023-01-17,Los Angeles,IL,Villa,3,2,1813,860963,2017,Sold
2023-01-18,Los Angeles,NY,Condo,5,1,3719,861124,1998,Sold
2023-01-19,Los Angeles,NY,Villa,2,1,2717,863443,1995,Sold
2023-01-20,Miami,NY,Villa,5,3,3139,864639,2003,Sold
2023-01-21,Los Angeles,IL,Apartment,5,1,3768,864835,2004,Available
2023-01-22,New York,FL,Apartment,5,4,1613,862903,2012,Available
2023-01-23,Los Angeles,IL,Townhouse,5,1,978,863216,1988,Available
2023-01-24,Houston,TX,Townhouse,3,2,3776,861901,1987,Sold
2023-01-25,Chicago,FL,Townhouse,4,4,2335,863083,2013,Available
2023-01-26,Chicago,NY,Condo,5,1,527,863580,2000,Sold
2023-01-27,New York,TX,Condo,3,1,1902,862081,1980,Sold
2023-01-28,New York,IL,Villa,5,1,1188,860377,1994,Available
2023-01-29,Houston,IL,Villa,3,1,3224,861557,1999,Available
2023-01-30,Houston,TX,Apartment,3,2,798,861059,2020,Sold
2023-01-31,Houston,TX,Townhouse,1,4,1629,861092,1994,Sold
2023-02-01,Chicago,FL,Apartment,4,1,3504,862903,1980,Sold
2023-02-02,New York,TX,Villa,5,3,3566,865273,2021,Sold
2023-02-03,Los Angeles,NY,Condo,2,4,3837,866090,2022,Available
2023-02-04,Houston,CA,Townhouse,3,4,1488,868238,2010,Sold
2023-02-05,Chicago,CA,Condo,3,3,797,868840,1982,Sold
2023-02-06,New York,NY,Villa,1,2,3211,871229,1986,Sold
2023-02-07,Los Angeles,NY,Apartment,3,4,2489,872544,1984,Sold
2023-02-08,New York,CA,Condo,4,4,1352,873154,2001,Sold
2023-02-09,Los Angeles,TX,Apartment,4,4,1364,874029,2016,Available
2023-02-10,Miami,NY,Townhouse,1,1,3530,875104,2000,Available
2023-02-11,Miami,FL,Villa,3,2,3694,875287,1988,Sold
2023-02-12,Los Angeles,TX,Apartment,5,1,1071,877761,1986,Sold
2023-02-13,Miami,IL,Condo,1,2,672,877604,1997,Sold
2023-02-14,Los Angeles,TX,Villa,5,4,3171,878748,1986,Available
2023-02-15,Miami,IL,Condo,4,4,3273,877157,2010,Sold
2023-02-16,Houston,TX,Condo,1,4,2878,875915,2003,Sold
2023-02-17,Miami,FL,Villa,1,3,941,877792,2014,Available
2023-02-18,New York,CA,Villa,1,2,2842,880067,2016,Available
2023-02-19,Los Angeles,CA,Apartment,2,2,3062,882045,1982,Sold
2023-02-20,Chicago,TX,Townhouse,2,3,2208,881605,1989,Available
2023-02-21,Houston,FL,Condo,4,1,2769,881561,1987,Sold
2023-02-22,Houston,IL,Townhouse,4,4,3302,883546,2003,Sold
2023-02-23,New York,CA,Apartment,5,1,2277,885789,2013,Sold
2023-02-24,New York,IL,Villa,5,3,727,884754,2015,Available
2023-02-25,New York,TX,Townhouse,4,3,2026,886604,2006,Available
2023-02-26,Miami,TX,Townhouse,3,3,1797,885671,2004,Available
2023-02-27,Los Angeles,CA,Apartment,4,2,3988,887522,2006,Sold
2023-02-28,Los Angeles,TX,Villa,5,1,3999,889131,2011,Sold
2023-03-01,Miami,NY,Townhouse,2,4,3827,890204,2013,Sold
2023-03-02,New York,FL,Condo,1,2,2012,890387,1988,Available
2023-03-03,Miami,NY,Villa,3,4,2685,891292,2021,Sold
2023-03-04,Houston,IL,Condo,1,1,2172,893499,2021,Sold
2023-03-05,New York,FL,Apartment,4,2,1098,892586,1985,Sold
2023-03-06,Houston,IL,Townhouse,1,1,1887,891701,1983,Available
2023-03-07,New York,NY,Townhouse,4,4,1201,894634,1989,Available
2023-03-08,Houston,NY,Condo,5,4,3394,893253,2001,Sold
2023-03-09,Miami,CA,Condo,2,3,1343,893671,1995,Sold
2023-03-10,Los Angeles,IL,Townhouse,4,3,2356,896011,2017,Sold
2023-03-11,Miami,FL,Apartment,3,2,1899,895368,2000,Sold
2023-03-12,Houston,NY,Condo,4,3,3766,895302,1989,Available
2023-03-13,New York,CA,Condo,5,2,3418,896214,1996,Sold
2023-03-14,Chicago,CA,Condo,5,4,3372,895904,1981,Available
2023-03-15,Los Angeles,NY,Villa,2,2,3168,898278,2022,Sold
2023-03-16,Chicago,IL,Apartment,4,2,2842,897510,2000,Sold
2023-03-17,New York,NY,Villa,3,1,2176,899048,1990,Sold
2023-03-18,Los Angeles,IL,Townhouse,1,1,671,900514,1986,Available
2023-03-19,Houston,FL,Townhouse,5,4,3458,900823,1997,Sold
2023-03-20,Los Angeles,NY,Condo,4,4,3064,900764,2019,Sold
2023-03-21,Houston,NY,Villa,1,1,2143,901757,1998,Available
2023-03-22,Chicago,FL,Townhouse,2,2,3165,900078,1982,Available
2023-03-23,Chicago,IL,Villa,1,4,3672,901687,1997,Available
2023-03-24,Miami,IL,Apartment,1,1,2822,901472,2021,Available
2023-03-25,Chicago,IL,Condo,4,2,2413,903889,1983,Available
2023-03-26,New York,TX,Townhouse,3,2,3587,902970,2018,Available
2023-03-27,New York,NY,Apartment,1,1,1311,905537,1995,Available
2023-03-28,Houston,IL,Condo,5,2,2956,908483,2012,Available
2023-03-29,Houston,IL,Condo,3,4,1160,910654,1995,Sold
2023-03-30,Los Angeles,NY,Townhouse,5,2,1001,910471,1983,Sold
2023-03-31,Houston,CA,Villa,1,1,623,909688,2016,Available
2023-04-01,Houston,FL,Apartment,2,3,1030,909986,2011,Sold
2023-04-02,New York,FL,Apartment,2,4,931,912477,1990,Sold
2023-04-03,Houston,TX,Villa,4,2,3050,912045,1991,Sold
2023-04-04,Los Angeles,IL,Condo,3,4,508,914026,1998,Sold
2023-04-05,Los Angeles,NY,Apartment,3,4,1692,914206,2003,Available
2023-04-06,Los Angeles,NY,Apartment,4,4,2219,916218,2015,Sold
2023-04-07,Los Angeles,TX,Apartment,4,2,1909,916792,2013,Sold
2023-04-08,Chicago,CA,Apartment,4,1,2476,919758,2021,Available
2023-04-09,Miami,IL,Apartment,3,4,1585,920030,2000,Available
2023-04-10,Los Angeles,IL,Townhouse,2,2,3606,919444,2012,Sold
2023-04-11,Miami,IL,Villa,5,2,2465,919814,1989,Sold
2023-04-12,Houston,TX,Apartment,1,1,3021,921186,1992,Sold
2023-04-13,Houston,CA,Condo,4,1,1783,922579,2015,Available
2023-04-14,Houston,CA,Condo,3,1,2983,922298,1982,Sold
2023-04-15,Houston,FL,Townhouse,5,4,3989,924218,2006,Available
2023-04-16,New York,NY,Villa,2,4,3244,922568,2002,Available
2023-04-17,Los Angeles,IL,Apartment,4,4,3954,922092,2000,Sold
2023-04-18,Los Angeles,TX,Townhouse,5,3,781,920686,1980,Available
2023-04-19,Los Angeles,IL,Apartment,2,3,2049,920763,1992,Available
2023-04-20,Houston,NY,Townhouse,1,3,2169,922031,1988,Available
2023-04-21,Los Angeles,NY,Apartment,1,2,1988,921555,1983,Sold
2023-04-22,Chicago,TX,Apartment,3,3,2938,923730,2017,Available
2023-04-23,Houston,TX,Villa,4,3,3257,921845,1991,Available
2023-04-24,New York,CA,Villa,2,3,3120,923022,1993,Sold
2023-04-25,Los Angeles,FL,Apartment,2,2,1484,921281,1981,Available
2023-04-26,Chicago,TX,Condo,3,2,511,923003,1990,Available
2023-04-27,Miami,FL,Townhouse,1,2,2893,924991,1983,Sold
2023-04-28,New York,TX,Apartment,5,2,541,926652,1999,Sold
2023-04-29,Los Angeles,TX,Villa,4,1,853,925967,2020,Sold
2023-04-30,Miami,FL,Townhouse,4,2,3307,924531,2002,Sold
2023-05-01,Houston,NY,Villa,2,4,995,924384,2017,Available
2023-05-02,New York,CA,Condo,3,2,2264,922859,2010,Available
2023-05-03,Los Angeles,CA,Townhouse,3,4,1280,923721,1991,Available
2023-05-04,New York,TX,Townhouse,4,3,2266,922724,1993,Available
2023-05-05,Houston,IL,Apartment,3,3,3661,925111,2015,Sold
2023-05-06,Los Angeles,IL,Apartment,5,3,3261,925916,1983,Available
2023-05-07,Miami,TX,Apartment,2,3,3665,926626,2015,Available
2023-05-08,Houston,IL,Townhouse,4,3,1500,926131,2006,Sold
2023-05-09,Houston,FL,Apartment,2,2,2642,926479,2016,Sold
2023-05-10,New York,CA,Townhouse,2,3,1613,925854,1986,Available
2023-05-11,Houston,CA,Condo,2,4,3972,926147,2007,Sold
2023-05-12,Miami,NY,Townhouse,1,3,1943,926261,2001,Sold
2023-05-13,Houston,IL,Villa,1,3,3317,924731,2020,Available
2023-05-14,Chicago,TX,Townhouse,4,1,2284,925396,1985,Sold
2023-05-15,Miami,FL,Villa,5,2,1528,925663,2004,Sold
2023-05-16,Chicago,FL,Villa,5,2,2181,926920,1986,Sold
2023-05-17,Los Angeles,FL,Villa,4,3,3329,927775,2014,Sold
2023-05-18,Miami,FL,Townhouse,2,1,1170,930294,1993,Sold
2023-05-19,New York,FL,Apartment,3,3,703,929806,1999,Sold
2023-05-20,Chicago,NY,Townhouse,3,2,2462,928935,1996,Sold
2023-05-21,Chicago,CA,Villa,2,2,2763,926972,1981,Available
2023-05-22,New York,IL,Condo,1,2,3704,925259,1981,Available
2023-05-23,Houston,TX,Condo,2,4,1524,926479,1983,Sold
2023-05-24,Miami,CA,Apartment,5,4,2927,928735,1996,Sold
2023-05-25,Chicago,CA,Villa,5,4,3854,927054,1982,Sold
2023-05-26,Chicago,FL,Condo,5,2,778,927637,2022,Sold
2023-05-27,New York,TX,Condo,1,4,830,927191,1989,Sold
2023-05-28,Miami,FL,Townhouse,3,2,3284,928929,1992,Sold
2023-05-29,Miami,NY,Villa,5,2,3349,928153,2008,Sold
2023-05-30,Houston,NY,Apartment,3,4,1431,928834,1999,Sold
2023-05-31,Los Angeles,NY,Villa,5,1,3139,928080,1990,Sold
2023-06-01,New York,FL,Apartment,4,3,1091,929943,2001,Sold
2023-06-02,Miami,IL,Apartment,1,1,2183,931395,2020,Sold
2023-06-03,Los Angeles,IL,Townhouse,4,2,1413,930137,1985,Available
2023-06-04,Miami,IL,Townhouse,1,3,1131,932173,1989,Sold
2023-06-05,Chicago,TX,Villa,3,2,590,933245,2017,Available
2023-06-06,Houston,IL,Apartment,5,1,3647,931490,2006,Sold
2023-06-07,Houston,TX,Apartment,4,3,2223,932362,1996,Sold
2023-06-08,New York,CA,Condo,5,4,1690,934850,2007,Sold
2023-06-09,Miami,FL,Condo,4,1,1511,934008,2002,Sold
2023-06-10,Houston,CA,Apartment,1,3,1533,933451,1988,Sold
2023-06-11,New York,IL,Apartment,3,2,3596,935898,1988,Available
2023-06-12,Houston,FL,Condo,2,2,2933,935424,2001,Sold
2023-06-13,Miami,FL,Villa,1,4,2764,934009,1988,Sold
2023-06-14,Miami,CA,Townhouse,2,4,636,934446,1994,Sold
2023-06-15,Chicago,IL,Condo,2,3,3030,933816,2014,Sold
2023-06-16,New York,TX,Condo,3,1,1840,932890,1986,Sold
2023-06-17,Los Angeles,FL,Townhouse,4,3,1757,935462,1996,Available
2023-06-18,Houston,CA,Townhouse,2,2,975,935085,1992,Sold
2023-06-19,Houston,FL,Apartment,3,3,3834,937904,1987,Sold
2023-06-20,Miami,NY,Condo,1,1,2732,937081,1994,Available
2023-06-21,Los Angeles,TX,Apartment,2,2,3871,937642,1983,Sold
2023-06-22,Los Angeles,IL,Villa,5,2,1166,939273,2013,Sold
2023-06-23,Miami,IL,Villa,1,1,1400,941145,2009,Sold
2023-06-24,New York,FL,Apartment,2,4,1079,942092,1990,Sold
2023-06-25,Los Angeles,FL,Villa,3,1,1340,940380,2012,Sold
2023-06-26,Chicago,NY,Townhouse,3,4,922,941015,1986,Sold
2023-06-27,Los Angeles,CA,Condo,3,3,1218,940067,1999,Available
2023-06-28,Los Angeles,TX,Apartment,5,2,2607,941302,1995,Available
2023-06-29,Houston,NY,Apartment,5,4,2091,940864,1995,Sold
2023-06-30,Chicago,FL,Townhouse,3,2,840,939830,2001,Available
2023-07-01,Houston,FL,Townhouse,4,4,1938,942455,2022,Available
2023-07-02,Houston,CA,Villa,4,1,1792,941593,2016,Sold
2023-07-03,Chicago,IL,Townhouse,5,2,2654,940659,2001,Sold
2023-07-04,New York,NY,Townhouse,1,4,2258,939415,2012,Sold
2023-07-05,Chicago,TX,Condo,4,4,838,938617,1983,Sold
2023-07-06,Miami,TX,Apartment,5,4,3570,936698,1991,Sold
2023-07-07,New York,CA,Condo,4,2,1400,935980,2014,Available
2023-07-08,Houston,FL,Apartment,3,1,3438,935252,2003,Sold
2023-07-09,Miami,NY,Townhouse,1,2,3546,934718,2002,Available
2023-07-10,Chicago,TX,Condo,4,2,3211,935800,1986,Sold
2023-07-11,Los Angeles,TX,Villa,5,2,3694,935236,1994,Sold
2023-07-12,Chicago,NY,Townhouse,5,2,3939,933537,1984,Available
2023-07-13,Los Angeles,TX,Villa,4,4,2164,935927,1991,Sold
2023-07-14,Los Angeles,IL,Townhouse,1,3,3420,934061,1990,Sold
2023-07-15,Los Angeles,FL,Villa,2,3,2750,932362,2022,Sold
2023-07-16,New York,CA,Apartment,4,3,1184,932400,1982,Sold
2023-07-17,Houston,IL,Townhouse,4,2,505,934914,1992,Available
2023-07-18,Los Angeles,FL,Condo,3,2,2105,935537,2022,Sold
2023-07-19,Chicago,CA,Apartment,4,1,601,936322,1995,Sold
2023-07-20,Los Angeles,IL,Apartment,4,3,1973,936399,1988,Sold
2023-07-21,Los Angeles,NY,Villa,3,1,845,938220,1990,Available
2023-07-22,Miami,NY,Villa,3,4,3471,941193,2019,Sold
2023-07-23,New York,NY,Villa,5,4,1807,941840,2017,Available
2023-07-24,Los Angeles,TX,Condo,4,4,2216,940564,2006,Available
2023-07-25,Miami,NY,Condo,1,1,1862,938790,1982,Sold
2023-07-26,Miami,NY,Townhouse,2,1,3976,940882,2019,Sold
2023-07-27,Los Angeles,TX,Townhouse,3,1,2827,940883,1980,Available
2023-07-28,Houston,IL,Villa,5,2,2957,940433,1989,Available
2023-07-29,New York,TX,Condo,3,4,3236,938624,1982,Sold
2023-07-30,Miami,NY,Condo,4,3,3862,938304,1981,Available
2023-07-31,Chicago,IL,Townhouse,1,3,1272,938675,2011,Available
2023-08-01,Los Angeles,FL,Townhouse,4,4,3977,939906,2005,Sold
2023-08-02,New York,TX,Villa,1,2,3237,939553,2013,Available
2023-08-03,Houston,FL,Condo,1,3,3641,941499,2006,Sold
2023-08-04,Los Angeles,TX,Condo,3,3,2292,941143,1990,Available
2023-08-05,Miami,TX,Townhouse,3,2,3224,939600,1986,Sold
2023-08-06,Houston,NY,Townhouse,2,4,2219,940300,2006,Available
2023-08-07,Los Angeles,IL,Condo,4,1,3449,942093,1988,Available
2023-08-08,Chicago,FL,Apartment,4,3,904,944783,2011,Sold
2023-08-09,New York,FL,Condo,4,1,3081,947382,1988,Sold
2023-08-10,Los Angeles,TX,Condo,2,3,2414,948480,2017,Sold
2023-08-11,New York,NY,Villa,1,2,634,947365,1992,Sold
2023-08-12,New York,FL,Villa,3,4,1178,948136,2003,Sold
2023-08-13,New York,IL,Villa,2,2,2915,950987,1980,Sold
2023-08-14,Houston,CA,Townhouse,2,2,1147,953388,1999,Available
2023-08-15,New York,CA,Villa,1,2,3206,951458,2015,Available
2023-08-16,New York,TX,Townhouse,4,4,3050,952530,2011,Sold
2023-08-17,Chicago,CA,Apartment,2,3,2086,952482,2022,Sold
2023-08-18,New York,IL,Apartment,5,1,2741,955033,1985,Available
2023-08-19,New York,TX,Townhouse,4,1,2133,955744,2022,Available
2023-08-20,New York,NY,Villa,4,3,2986,958661,1988,Available
