Date,City,Gold_Purity,Gold_Price_per_10g,Jewellery_Shop,Demand_Level,Festival_Season,Import_Duty_%,USD_INR_Rate
2019-12-08,Chennai,22K,35749,Local Shop,Low,No,10.0,82.36
2019-12-09,Hyderabad,22K,35696,Kalyan Jewellers,High,Yes,10.0,82.36
2019-12-10,Mumbai,24K,35714,Malabar Gold,Low,Yes,12.5,82.36
2019-12-11,Mumbai,22K,35777,Tanishq,High,No,15.0,82.36
2019-12-12,Hyderabad,22K,35819,PC Jeweller,Medium,No,15.0,82.36
2019-12-13,Chennai,22K,35956,PC Jeweller,Low,No,12.5,82.36
2019-12-14,Mumbai,22K,35904,Malabar Gold,Medium,No,12.5,82.36
2019-12-15,Mumbai,22K,35893,Tanishq,Medium,No,12.5,82.36
2019-12-16,Mumbai,24K,35818,Local Shop,Low,No,10.0,82.36
2019-12-17,Chennai,24K,35747,Malabar Gold,High,Yes,10.0,82.36
2019-12-18,Hyderabad,22K,35641,Malabar Gold,High,Yes,12.5,82.36
2019-12-19,Chennai,22K,35608,PC Jeweller,Medium,Yes,15.0,82.36
2019-12-20,Delhi,22K,35519,PC Jeweller,Medium,Yes,10.0,82.36
2019-12-21,Delhi,22K,35476,Malabar Gold,Medium,No,10.0,82.36
2019-12-22,Hyderabad,22K,35541,PC Jeweller,Medium,No,10.0,82.36
2019-12-23,Hyderabad,24K,35531,Malabar Gold,High,No,15.0,82.36
2019-12-24,Hyderabad,22K,35519,Malabar Gold,Medium,No,15.0,82.36
2019-12-25,Chennai,24K,35586,Tanishq,Low,No,12.5,82.36
2019-12-26,Delhi,22K,35532,Local Shop,High,Yes,12.5,82.36
2019-12-27,Hyderabad,24K,35432,Kalyan Jewellers,Medium,Yes,10.0,82.36
2019-12-28,Delhi,22K,35548,Tanishq,Low,Yes,12.5,82.36
2019-12-29,Hyderabad,22K,35480,Tanishq,Low,No,10.0,82.36
2019-12-30,Delhi,22K,35378,Tanishq,Medium,No,15.0,82.36
2019-12-31,Mumbai,22K,35268,Local Shop,Medium,Yes,15.0,82.36
2020-01-01,Hyderabad,22K,35220,Local Shop,High,No,12.5,82.36
2020-01-02,Kolkata,24K,35328,PC Jeweller,Medium,Yes,10.0,82.36
2020-01-03,Hyderabad,24K,35333,Local Shop,Medium,Yes,12.5,82.36
2020-01-04,Chennai,24K,35453,Local Shop,High,No,10.0,82.36
2020-01-05,Hyderabad,24K,35487,Local Shop,Low,No,15.0,82.36
2020-01-06,Kolkata,24K,35395,Local Shop,High,No,12.5,82.36
2020-01-07,Chennai,22K,35514,PC Jeweller,Low,No,15.0,82.36
2020-01-08,Mumbai,24K,35574,Local Shop,Low,Yes,12.5,82.36
2020-01-09,Chennai,22K,35679,Local Shop,High,No,15.0,82.36
2020-01-10,Kolkata,22K,35618,PC Jeweller,Medium,Yes,15.0,82.36
2020-01-11,Hyderabad,24K,35726,Malabar Gold,Low,No,15.0,82.36
2020-01-12,Kolkata,22K,35711,Malabar Gold,Medium,No,12.5,82.36
2020-01-13,Delhi,22K,35859,PC Jeweller,Medium,Yes,10.0,82.36
2020-01-14,Kolkata,24K,35768,Tanishq,Medium,No,10.0,82.36
2020-01-15,Kolkata,22K,35900,Tanishq,High,No,12.5,82.36
2020-01-16,Chennai,22K,35811,Kalyan Jewellers,High,No,12.5,82.36
2020-01-17,Chennai,22K,35753,PC Jeweller,Low,No,12.5,82.36
2020-01-18,Hyderabad,22K,35717,Local Shop,Low,No,15.0,82.36
2020-01-19,Mumbai,24K,35613,Kalyan Jewellers,Medium,Yes,10.0,82.36
2020-01-20,Chennai,24K,35507,Kalyan Jewellers,Low,Yes,12.5,82.36
2020-01-21,Kolkata,24K,35434,Kalyan Jewellers,High,No,15.0,82.36
2020-01-22,Delhi,22K,35338,Tanishq,Medium,Yes,15.0,82.36
2020-01-23,Mumbai,22K,35249,Malabar Gold,Low,No,12.5,82.36
2020-01-24,Chennai,24K,35157,Tanishq,Medium,No,10.0,82.36
2020-01-25,Chennai,24K,35122,PC Jeweller,Medium,Yes,15.0,82.36
2020-01-26,Hyderabad,22K,35222,Malabar Gold,Medium,Yes,15.0,82.36
2020-01-27,Mumbai,22K,35194,Kalyan Jewellers,Medium,Yes,10.0,82.36
2020-01-28,Mumbai,22K,35163,Local Shop,High,No,12.5,82.36
2020-01-29,Mumbai,22K,35230,Tanishq,Medium,Yes,12.5,82.36
2020-01-30,Kolkata,24K,35216,Local Shop,Low,No,12.5,82.36
2020-01-31,Kolkata,22K,35159,Tanishq,High,No,10.0,82.36
2020-02-01,Chennai,24K,35104,Kalyan Jewellers,Low,No,12.5,82.36
2020-02-02,Hyderabad,22K,35222,Tanishq,High,Yes,12.5,82.36
2020-02-03,Chennai,22K,35196,Tanishq,Medium,Yes,10.0,82.36
2020-02-04,Hyderabad,22K,35302,Malabar Gold,Medium,Yes,15.0,82.36
2020-02-05,Chennai,24K,35291,Malabar Gold,Medium,No,10.0,82.36
2020-02-06,Hyderabad,22K,35361,Local Shop,Medium,No,15.0,82.36
2020-02-07,Kolkata,22K,35389,Kalyan Jewellers,Medium,No,15.0,82.36
2020-02-08,Kolkata,22K,35279,Kalyan Jewellers,Medium,No,10.0,82.36
2020-02-09,Hyderabad,24K,35184,Tanishq,High,Yes,15.0,82.36
2020-02-10,Mumbai,24K,35228,Kalyan Jewellers,Low,No,12.5,82.36
2020-02-11,Chennai,22K,35170,Local Shop,Low,No,12.5,82.36
2020-02-12,Hyderabad,24K,35283,Malabar Gold,High,Yes,12.5,82.36
2020-02-13,Kolkata,22K,35408,Local Shop,High,No,12.5,82.36
2020-02-14,Hyderabad,22K,35418,Malabar Gold,High,No,12.5,82.36
2020-02-15,Hyderabad,22K,35422,Kalyan Jewellers,Low,No,15.0,82.36
2020-02-16,Chennai,22K,35349,Kalyan Jewellers,High,No,12.5,82.36
2020-02-17,Delhi,22K,35314,Malabar Gold,Low,No,15.0,82.36
2020-02-18,Hyderabad,22K,35240,PC Jeweller,Medium,No,12.5,82.36
2020-02-19,Chennai,22K,35149,Tanishq,Low,No,10.0,82.36
2020-02-20,Mumbai,22K,35053,PC Jeweller,High,Yes,10.0,82.36
2020-02-21,Mumbai,24K,35021,Kalyan Jewellers,High,No,15.0,82.36
2020-02-22,Kolkata,22K,35104,Local Shop,High,Yes,12.5,82.36
2020-02-23,Chennai,22K,35042,Kalyan Jewellers,High,No,12.5,82.36
2020-02-24,Kolkata,24K,35140,Local Shop,Low,Yes,15.0,82.36
2020-02-25,Chennai,24K,35096,Local Shop,Medium,Yes,10.0,82.36
2020-02-26,Chennai,24K,35009,Local Shop,High,No,15.0,82.36
2020-02-27,Hyderabad,24K,34998,Malabar Gold,Low,Yes,15.0,82.36
2020-02-28,Chennai,24K,34888,Tanishq,Low,No,15.0,82.36
2020-02-29,Chennai,22K,34897,Tanishq,Medium,No,15.0,82.36
2020-03-01,Delhi,24K,35011,Tanishq,High,No,15.0,82.36
2020-03-02,Hyderabad,22K,35106,Tanishq,Medium,No,10.0,82.36
2020-03-03,Chennai,22K,35185,PC Jeweller,High,No,15.0,82.36
2020-03-04,Chennai,24K,35325,Local Shop,Medium,No,15.0,82.36
2020-03-05,Chennai,24K,35209,Kalyan Jewellers,Low,No,12.5,82.36
2020-03-06,Mumbai,22K,35322,Malabar Gold,High,No,12.5,82.36
2020-03-07,Mumbai,22K,35327,Kalyan Jewellers,High,No,10.0,82.36
2020-03-08,Chennai,22K,35401,PC Jeweller,Low,Yes,10.0,82.36
2020-03-09,Delhi,24K,35346,Kalyan Jewellers,High,Yes,15.0,82.36
2020-03-10,Kolkata,22K,35326,PC Jeweller,Medium,Yes,12.5,82.36
2020-03-11,Chennai,22K,35208,Tanishq,Medium,No,15.0,82.36
2020-03-12,Mumbai,22K,35110,Local Shop,Medium,No,12.5,82.36
2020-03-13,Kolkata,22K,35082,Local Shop,Low,No,15.0,82.36
2020-03-14,Delhi,22K,35229,Local Shop,High,No,15.0,82.36
2020-03-15,Delhi,24K,35266,Local Shop,High,Yes,15.0,82.36
2020-03-16,Delhi,22K,35355,Malabar Gold,High,Yes,10.0,82.36
2020-03-17,Delhi,24K,35239,Kalyan Jewellers,Low,No,10.0,82.36
2020-03-18,Kolkata,22K,35180,Malabar Gold,Medium,No,12.5,82.36
2020-03-19,Mumbai,24K,35282,Malabar Gold,Medium,No,10.0,82.36
2020-03-20,Hyderabad,22K,35323,Kalyan Jewellers,Low,No,10.0,82.36
2020-03-21,Kolkata,24K,35412,Local Shop,Medium,No,10.0,82.36
2020-03-22,Kolkata,22K,35349,PC Jeweller,Medium,Yes,12.5,82.36
2020-03-23,Hyderabad,22K,35443,Tanishq,Medium,Yes,15.0,82.36
2020-03-24,Chennai,24K,35386,Kalyan Jewellers,Medium,No,10.0,82.36
2020-03-25,Mumbai,24K,35515,Tanishq,High,Yes,10.0,82.36
2020-03-26,Chennai,22K,35485,Malabar Gold,Low,No,15.0,82.36
2020-03-27,Chennai,22K,35452,Local Shop,Medium,Yes,15.0,82.36
2020-03-28,Delhi,22K,35503,Local Shop,High,No,12.5,82.36
2020-03-29,Kolkata,22K,35565,PC Jeweller,Medium,No,10.0,82.36
2020-03-30,Delhi,22K,35584,Local Shop,Medium,Yes,12.5,82.36
2020-03-31,Mumbai,24K,35553,Malabar Gold,Medium,No,10.0,82.36
2020-04-01,Chennai,22K,35592,PC Jeweller,High,No,15.0,82.36
2020-04-02,Mumbai,22K,35564,Tanishq,Low,Yes,12.5,82.36
2020-04-03,Delhi,22K,35615,Tanishq,Medium,No,10.0,82.36
2020-04-04,Delhi,22K,35529,PC Jeweller,Low,No,10.0,82.36
2020-04-05,Kolkata,24K,35423,Local Shop,Medium,Yes,10.0,82.36
2020-04-06,Chennai,24K,35440,Local Shop,Low,Yes,15.0,82.36
2020-04-07,Chennai,24K,35464,PC Jeweller,Low,No,15.0,82.36
2020-04-08,Kolkata,22K,35549,Kalyan Jewellers,High,No,10.0,82.36
2020-04-09,Hyderabad,22K,35536,Kalyan Jewellers,Medium,No,15.0,82.36
2020-04-10,Chennai,24K,35549,Tanishq,Medium,Yes,15.0,82.36
2020-04-11,Mumbai,22K,35544,Tanishq,Low,No,10.0,82.36
2020-04-12,Hyderabad,22K,35629,Tanishq,Low,Yes,15.0,82.36
2020-04-13,Kolkata,22K,35607,Local Shop,Medium,No,10.0,82.36
2020-04-14,Delhi,22K,35583,Local Shop,Medium,No,12.5,82.36
2020-04-15,Kolkata,24K,35611,Malabar Gold,High,No,10.0,82.36
2020-04-16,Mumbai,22K,35612,Malabar Gold,Medium,No,12.5,82.36
2020-04-17,Hyderabad,22K,35511,PC Jeweller,High,No,12.5,82.36
2020-04-18,Chennai,22K,35581,Malabar Gold,Medium,Yes,15.0,82.36
2020-04-19,Kolkata,22K,35524,Local Shop,Low,Yes,12.5,82.36
2020-04-20,Delhi,22K,35670,Malabar Gold,Medium,No,12.5,82.36
2020-04-21,Mumbai,22K,35567,Tanishq,Medium,Yes,10.0,82.36
2020-04-22,Kolkata,24K,35705,PC Jeweller,High,Yes,10.0,82.36
2020-04-23,Mumbai,24K,35795,Local Shop,Medium,Yes,15.0,82.36
2020-04-24,Hyderabad,24K,35770,Malabar Gold,Low,Yes,12.5,82.36
2020-04-25,Hyderabad,24K,35913,Malabar Gold,Medium,Yes,12.5,82.36
2020-04-26,Kolkata,24K,35797,Local Shop,High,No,12.5,82.36
2020-04-27,Hyderabad,24K,35819,Tanishq,Low,Yes,15.0,82.36
2020-04-28,Chennai,22K,35904,Local Shop,Medium,No,12.5,82.36
2020-04-29,Hyderabad,22K,35873,Local Shop,Low,No,12.5,82.36
2020-04-30,Delhi,24K,35929,PC Jeweller,Medium,No,12.5,82.36
2020-05-01,Mumbai,24K,35895,Kalyan Jewellers,High,No,10.0,82.36
2020-05-02,Mumbai,24K,35883,Local Shop,Medium,No,12.5,82.36
2020-05-03,Mumbai,24K,36024,Local Shop,Medium,No,12.5,82.36
2020-05-04,Chennai,24K,35984,Tanishq,Medium,No,10.0,82.36
2020-05-05,Hyderabad,24K,36121,Local Shop,High,Yes,12.5,82.36
2020-05-06,Delhi,22K,36082,PC Jeweller,Medium,Yes,12.5,82.36
2020-05-07,Chennai,22K,36164,Tanishq,High,No,15.0,82.36
2020-05-08,Hyderabad,24K,36287,Malabar Gold,Low,No,15.0,82.36
2020-05-09,Kolkata,22K,36375,Kalyan Jewellers,Low,No,15.0,82.36
2020-05-10,Kolkata,22K,36399,Local Shop,Low,No,15.0,82.36
2020-05-11,Hyderabad,24K,36371,Local Shop,Medium,No,15.0,82.36
2020-05-12,Chennai,22K,36261,Local Shop,Medium,Yes,12.5,82.36
2020-05-13,Kolkata,22K,36400,Malabar Gold,High,Yes,12.5,82.36
2020-05-14,Kolkata,22K,36520,Tanishq,Medium,Yes,15.0,82.36
2020-05-15,Hyderabad,24K,36586,Local Shop,High,No,10.0,82.36
2020-05-16,Delhi,24K,36639,Tanishq,Low,Yes,15.0,82.36
2020-05-17,Hyderabad,22K,36717,PC Jeweller,Low,Yes,12.5,82.36
2020-05-18,Mumbai,22K,36756,Local Shop,Low,Yes,12.5,82.36
2020-05-19,Hyderabad,22K,36813,Tanishq,High,No,10.0,82.36
2020-05-20,Kolkata,24K,36822,Kalyan Jewellers,Medium,Yes,12.5,82.36
2020-05-21,Hyderabad,22K,36787,Kalyan Jewellers,Medium,No,10.0,82.36
2020-05-22,Mumbai,22K,36776,PC Jeweller,Medium,Yes,15.0,82.36
2020-05-23,Hyderabad,24K,36822,PC Jeweller,High,No,12.5,82.36
2020-05-24,Kolkata,24K,36879,Kalyan Jewellers,Medium,Yes,15.0,82.36
2020-05-25,Chennai,22K,36935,Malabar Gold,Medium,Yes,10.0,82.36
2020-05-26,Chennai,22K,36944,Tanishq,High,No,10.0,82.36
2020-05-27,Chennai,22K,36974,PC Jeweller,Low,No,10.0,82.36
2020-05-28,Mumbai,24K,36962,Malabar Gold,Low,No,10.0,82.36
2020-05-29,Hyderabad,22K,36892,Malabar Gold,Medium,No,15.0,82.36
2020-05-30,Delhi,22K,36831,PC Jeweller,High,No,10.0,82.36
2020-05-31,Chennai,24K,36874,Malabar Gold,High,Yes,10.0,82.36
2020-06-01,Mumbai,24K,36852,Kalyan Jewellers,High,No,12.5,82.36
2020-06-02,Hyderabad,24K,36977,Local Shop,Medium,No,12.5,82.36
2020-06-03,Chennai,24K,37087,Tanishq,Medium,Yes,15.0,82.36
2020-06-04,Kolkata,24K,37140,Local Shop,High,No,10.0,82.36
2020-06-05,Mumbai,22K,37245,Tanishq,Low,No,10.0,82.36
2020-06-06,Delhi,22K,37371,Local Shop,Medium,No,12.5,82.36
2020-06-07,Mumbai,22K,37519,PC Jeweller,Low,No,12.5,82.36
2020-06-08,Kolkata,22K,37433,Malabar Gold,Medium,Yes,12.5,82.36
2020-06-09,Kolkata,22K,37546,Local Shop,Low,Yes,10.0,82.36
2020-06-10,Kolkata,22K,37583,Kalyan Jewellers,Medium,Yes,15.0,82.36
2020-06-11,Hyderabad,22K,37523,Tanishq,Low,Yes,15.0,82.36
2020-06-12,Chennai,22K,37488,Malabar Gold,Medium,Yes,12.5,82.36
2020-06-13,Hyderabad,24K,37607,Malabar Gold,Medium,Yes,15.0,82.36
2020-06-14,Hyderabad,22K,37635,Local Shop,Medium,No,10.0,82.36
2020-06-15,Chennai,22K,37564,Malabar Gold,Low,No,12.5,82.36
2020-06-16,Chennai,22K,37550,Kalyan Jewellers,Low,No,12.5,82.36
2020-06-17,Mumbai,22K,37545,Local Shop,Medium,Yes,15.0,82.36
2020-06-18,Kolkata,22K,37431,Malabar Gold,Medium,Yes,12.5,82.36
2020-06-19,Delhi,22K,37515,Local Shop,High,Yes,15.0,82.36
2020-06-20,Delhi,24K,37532,Malabar Gold,Medium,No,15.0,82.36
2020-06-21,Mumbai,24K,37450,PC Jeweller,Low,No,10.0,82.36
2020-06-22,Chennai,24K,37404,Tanishq,High,Yes,15.0,82.36
2020-06-23,Delhi,22K,37414,Malabar Gold,Medium,Yes,10.0,82.36
2020-06-24,Mumbai,24K,37479,Malabar Gold,High,No,10.0,82.36
2020-06-25,Delhi,22K,37445,Kalyan Jewellers,Low,Yes,12.5,82.36
2020-06-26,Delhi,22K,37471,Kalyan Jewellers,Low,No,10.0,82.36
2020-06-27,Chennai,22K,37500,Tanishq,Low,Yes,15.0,82.36
2020-06-28,Hyderabad,22K,37550,Local Shop,High,No,10.0,82.36
2020-06-29,Delhi,22K,37633,Kalyan Jewellers,High,No,12.5,82.36
2020-06-30,Chennai,22K,37548,Tanishq,Low,Yes,10.0,82.36
2020-07-01,Mumbai,24K,37457,Local Shop,High,No,10.0,82.36
2020-07-02,Mumbai,22K,37383,Local Shop,Medium,Yes,15.0,82.36
2020-07-03,Hyderabad,24K,37347,Tanishq,High,No,15.0,82.36
2020-07-04,Hyderabad,22K,37433,Kalyan Jewellers,Medium,No,15.0,82.36
2020-07-05,Delhi,22K,37537,PC Jeweller,Medium,Yes,12.5,82.36
2020-07-06,Mumbai,24K,37677,Local Shop,High,No,15.0,82.36
2020-07-07,Chennai,22K,37662,PC Jeweller,Medium,No,12.5,82.36
2020-07-08,Mumbai,22K,37548,Local Shop,High,Yes,12.5,82.36
2020-07-09,Mumbai,22K,37474,Local Shop,High,No,10.0,82.36
2020-07-10,Delhi,24K,37528,Kalyan Jewellers,Medium,No,15.0,82.36
2020-07-11,Mumbai,22K,37497,Local Shop,High,No,12.5,82.36
2020-07-12,Chennai,24K,37536,Tanishq,High,No,10.0,82.36
2020-07-13,Kolkata,22K,37662,Tanishq,High,No,10.0,82.36
2020-07-14,Chennai,24K,37811,Kalyan Jewellers,Medium,No,10.0,82.36
2020-07-15,Chennai,22K,37908,Malabar Gold,Low,No,15.0,82.36
2020-07-16,Delhi,22K,37987,Local Shop,High,No,15.0,82.36
2020-07-17,Chennai,22K,37968,Tanishq,Medium,Yes,10.0,82.36
2020-07-18,Delhi,22K,38039,PC Jeweller,Low,No,15.0,82.36
2020-07-19,Kolkata,22K,38172,PC Jeweller,High,No,12.5,82.36
2020-07-20,Chennai,22K,38296,Tanishq,Medium,No,10.0,82.36
2020-07-21,Kolkata,24K,38288,Kalyan Jewellers,Medium,No,12.5,82.36
2020-07-22,Mumbai,22K,38356,Local Shop,Low,Yes,15.0,82.36
2020-07-23,Hyderabad,22K,38480,Local Shop,Low,Yes,15.0,82.36
2020-07-24,Chennai,22K,38436,PC Jeweller,Low,No,15.0,82.36
2020-07-25,Delhi,22K,38497,PC Jeweller,High,Yes,15.0,82.36
2020-07-26,Delhi,24K,38540,Local Shop,Low,No,15.0,82.36
2020-07-27,Delhi,24K,38675,Kalyan Jewellers,Medium,No,10.0,82.36
2020-07-28,Kolkata,24K,38714,Tanishq,High,Yes,15.0,82.36
2020-07-29,Kolkata,22K,38713,PC Jeweller,High,No,12.5,82.36
2020-07-30,Mumbai,24K,38836,Local Shop,High,Yes,10.0,82.36
2020-07-31,Mumbai,22K,38904,Local Shop,High,No,10.0,82.36
2020-08-01,Kolkata,24K,39044,Local Shop,Low,No,12.5,82.36
2020-08-02,Mumbai,22K,38926,Kalyan Jewellers,Low,No,10.0,82.36
2020-08-03,Delhi,22K,38882,Malabar Gold,Low,No,15.0,82.36
2020-08-04,Mumbai,22K,38919,Tanishq,Low,No,12.5,82.36
2020-08-05,Hyderabad,22K,38867,Tanishq,Low,No,12.5,82.36
2020-08-06,Delhi,24K,38756,PC Jeweller,Medium,No,15.0,82.36
2020-08-07,Hyderabad,24K,38805,Kalyan Jewellers,High,No,10.0,82.36
2020-08-08,Mumbai,24K,38817,Tanishq,Medium,No,12.5,82.36
2020-08-09,Mumbai,24K,38845,Tanishq,High,No,12.5,82.36
2020-08-10,Delhi,24K,38961,Malabar Gold,Low,No,15.0,82.36
2020-08-11,Delhi,22K,39110,Malabar Gold,Medium,No,12.5,82.36
2020-08-12,Delhi,22K,39247,Malabar Gold,Low,No,15.0,82.36
2020-08-13,Hyderabad,24K,39180,Kalyan Jewellers,High,Yes,10.0,82.36
2020-08-14,Hyderabad,22K,39131,Local Shop,High,Yes,10.0,82.36
2020-08-15,Hyderabad,24K,39079,Malabar Gold,Medium,No,15.0,82.36
2020-08-16,Kolkata,22K,39217,Kalyan Jewellers,High,No,15.0,82.36
2020-08-17,Kolkata,22K,39187,Kalyan Jewellers,High,No,12.5,82.36
2020-08-18,Hyderabad,22K,39326,Malabar Gold,Low,No,12.5,82.36
2020-08-19,Kolkata,22K,39338,Malabar Gold,High,No,15.0,82.36
2020-08-20,Delhi,22K,39483,Malabar Gold,Medium,No,12.5,82.36
2020-08-21,Kolkata,22K,39514,Kalyan Jewellers,High,No,10.0,82.36
2020-08-22,Mumbai,22K,39564,PC Jeweller,High,Yes,15.0,82.36
2020-08-23,Kolkata,24K,39575,Malabar Gold,High,No,12.5,82.36
2020-08-24,Chennai,22K,39625,Malabar Gold,Medium,No,15.0,82.36
2020-08-25,Chennai,22K,39603,PC Jeweller,High,No,12.5,82.36
2020-08-26,Kolkata,24K,39558,Malabar Gold,Medium,No,10.0,82.36
2020-08-27,Hyderabad,24K,39669,PC Jeweller,Medium,No,10.0,82.36
2020-08-28,Hyderabad,22K,39578,PC Jeweller,Low,Yes,15.0,82.36
2020-08-29,Hyderabad,24K,39485,Kalyan Jewellers,Medium,No,12.5,82.36
2020-08-30,Chennai,24K,39443,Kalyan Jewellers,Low,No,15.0,82.36
2020-08-31,Kolkata,22K,39327,Kalyan Jewellers,Medium,Yes,15.0,82.36
2020-09-01,Chennai,22K,39353,Local Shop,Low,No,15.0,82.36
2020-09-02,Chennai,22K,39252,Kalyan Jewellers,Medium,Yes,12.5,82.36
2020-09-03,Mumbai,22K,39154,Local Shop,Medium,No,15.0,82.36
2020-09-04,Mumbai,22K,39221,Local Shop,High,Yes,10.0,82.36
2020-09-05,Hyderabad,24K,39185,Malabar Gold,Low,No,10.0,82.36
2020-09-06,Mumbai,24K,39227,Malabar Gold,Low,Yes,15.0,82.36
2020-09-07,Hyderabad,22K,39271,Kalyan Jewellers,High,No,10.0,82.36
2020-09-08,Kolkata,22K,39185,Local Shop,Low,No,12.5,82.36
2020-09-09,Mumbai,22K,39238,Malabar Gold,Low,No,15.0,82.36
2020-09-10,Delhi,22K,39372,PC Jeweller,High,Yes,15.0,82.36
2020-09-11,Delhi,24K,39516,PC Jeweller,High,No,12.5,82.36
2020-09-12,Mumbai,22K,39549,Tanishq,High,Yes,15.0,82.36
2020-09-13,Delhi,22K,39446,PC Jeweller,High,Yes,10.0,82.36
2020-09-14,Hyderabad,22K,39378,Tanishq,Low,No,10.0,82.36
2020-09-15,Delhi,22K,39521,PC Jeweller,Medium,Yes,15.0,82.36
2020-09-16,Kolkata,24K,39603,Local Shop,Medium,Yes,10.0,82.36
2020-09-17,Mumbai,24K,39587,Tanishq,High,No,12.5,82.36
2020-09-18,Delhi,24K,39610,Tanishq,High,No,15.0,82.36
2020-09-19,Mumbai,24K,39607,Kalyan Jewellers,Medium,No,15.0,82.36
2020-09-20,Chennai,24K,39550,Malabar Gold,High,No,12.5,82.36
2020-09-21,Hyderabad,22K,39553,Kalyan Jewellers,High,Yes,15.0,82.36
2020-09-22,Mumbai,22K,39584,Tanishq,Low,No,15.0,82.36
2020-09-23,Kolkata,22K,39704,Kalyan Jewellers,Low,No,12.5,82.36
2020-09-24,Delhi,22K,39658,Local Shop,Low,No,15.0,82.36
2020-09-25,Hyderabad,22K,39609,Malabar Gold,Medium,Yes,15.0,82.36
2020-09-26,Kolkata,22K,39614,Malabar Gold,Low,No,10.0,82.36
2020-09-27,Delhi,24K,39753,Tanishq,Low,No,15.0,82.36
2020-09-28,Mumbai,22K,39784,Kalyan Jewellers,Low,No,12.5,82.36
2020-09-29,Delhi,22K,39706,PC Jeweller,Low,No,15.0,82.36
2020-09-30,Mumbai,22K,39703,PC Jeweller,Medium,No,10.0,82.36
2020-10-01,Delhi,22K,39648,Local Shop,Medium,No,12.5,82.36
2020-10-02,Mumbai,22K,39788,Tanishq,Low,No,10.0,82.36
2020-10-03,Mumbai,24K,39680,Malabar Gold,Low,No,10.0,82.36
2020-10-04,Mumbai,24K,39614,Tanishq,Medium,Yes,12.5,82.36
2020-10-05,Mumbai,24K,39526,Malabar Gold,Medium,Yes,10.0,82.36
2020-10-06,Mumbai,24K,39445,Tanishq,Low,Yes,12.5,82.36
2020-10-07,Kolkata,24K,39431,Local Shop,Medium,Yes,10.0,82.36
2020-10-08,Hyderabad,22K,39556,Local Shop,Low,Yes,12.5,82.36
2020-10-09,Delhi,24K,39509,PC Jeweller,High,No,10.0,82.36
2020-10-10,Mumbai,24K,39601,Tanishq,High,No,15.0,82.36
2020-10-11,Kolkata,24K,39638,Tanishq,High,No,10.0,82.36
2020-10-12,Kolkata,22K,39609,Malabar Gold,High,No,15.0,82.36
2020-10-13,Hyderabad,24K,39567,Kalyan Jewellers,Medium,No,15.0,82.36
2020-10-14,Hyderabad,24K,39468,Local Shop,Medium,Yes,15.0,82.36
2020-10-15,Chennai,24K,39386,Local Shop,Medium,No,10.0,82.36
2020-10-16,Kolkata,22K,39293,Local Shop,Medium,No,10.0,82.36
2020-10-17,Delhi,22K,39428,Local Shop,Medium,No,10.0,82.36
2020-10-18,Delhi,24K,39406,Tanishq,Low,No,15.0,82.36
2020-10-19,Delhi,22K,39444,Kalyan Jewellers,Medium,No,12.5,82.36
2020-10-20,Chennai,24K,39391,PC Jeweller,Medium,No,15.0,82.36
2020-10-21,Kolkata,24K,39406,Tanishq,Medium,Yes,10.0,82.36
2020-10-22,Chennai,24K,39482,Tanishq,Medium,No,10.0,82.36
2020-10-23,Chennai,22K,39363,Tanishq,Medium,No,10.0,82.36
2020-10-24,Hyderabad,22K,39308,Kalyan Jewellers,Medium,Yes,12.5,82.36
2020-10-25,Delhi,22K,39263,Kalyan Jewellers,Medium,No,10.0,82.36
2020-10-26,Hyderabad,22K,39147,PC Jeweller,Low,No,15.0,82.36
2020-10-27,Hyderabad,22K,39276,Kalyan Jewellers,High,No,12.5,82.36
2020-10-28,Hyderabad,22K,39324,Malabar Gold,High,No,12.5,82.36
2020-10-29,Chennai,22K,39362,Malabar Gold,Low,No,12.5,82.36
2020-10-30,Kolkata,22K,39341,Local Shop,High,No,10.0,82.36
2020-10-31,Mumbai,24K,39344,Local Shop,Low,Yes,10.0,82.36
2020-11-01,Chennai,22K,39490,Tanishq,Low,No,15.0,82.36
2020-11-02,Kolkata,22K,39379,Tanishq,Medium,No,10.0,82.36
2020-11-03,Hyderabad,22K,39457,Tanishq,Medium,No,15.0,82.36
2020-11-04,Chennai,24K,39605,Malabar Gold,High,No,10.0,82.36
2020-11-05,Mumbai,24K,39492,Tanishq,Low,No,15.0,82.36
2020-11-06,Chennai,24K,39420,Kalyan Jewellers,Medium,No,15.0,82.36
2020-11-07,Chennai,22K,39461,PC Jeweller,Medium,No,15.0,82.36
2020-11-08,Chennai,22K,39579,Local Shop,High,Yes,12.5,82.36
2020-11-09,Chennai,22K,39489,PC Jeweller,High,No,10.0,82.36
2020-11-10,Kolkata,22K,39630,Local Shop,Medium,Yes,15.0,82.36
2020-11-11,Delhi,24K,39654,Tanishq,High,No,12.5,82.36
2020-11-12,Delhi,24K,39673,PC Jeweller,Medium,Yes,12.5,82.36
2020-11-13,Chennai,22K,39702,Tanishq,Medium,No,12.5,82.36
2020-11-14,Delhi,22K,39817,Malabar Gold,Low,No,15.0,82.36
2020-11-15,Mumbai,24K,39932,Local Shop,Low,Yes,10.0,82.36
2020-11-16,Chennai,22K,39889,Tanishq,Medium,No,12.5,82.36
2020-11-17,Chennai,22K,39950,PC Jeweller,High,Yes,12.5,82.36
